ID,Species,noAncestralArea,Dispersal,Polyploidy
CENT23,C. erythraea subsp. rhodense,1,1,1
CENT3,C. erythraea subsp. erythraea,1,1,1
CENT46,C. littorale subsp. uliginosum,1,0,1
CENT9,C. grandiflorum subsp. majus,0,0,0
CENT36,C. erythraea subsp. rumelicum,1,1,0
CENT28,C. turcicum,1,1,1
CENT6,C. grandiflorum subsp. grandiflorum,0,0,0
CENT16,C. suffruticosum,0,0,0
CENT33,C. quadrifolium subsp. parviflorum,0,0,0
CENT34,C. quadrifolium subsp. quadrifolium,0,0,0
CENT14,C. quadrifolium subsp. barrelieri,0,0,0
CENT5,C. grandiflorum subsp. boissieri,0,0,0
CENT59,C. somedanum,0,0,1
CENT41,C. littorale subsp. littorale,1,0,1
CENT37,C. scilloides,1,1,0
CENT26,C. chloodes,0,0,1
CENT32,C. quadrifolium subsp. linariifolium,0,0,0
CENT74,C. serpentinicola,1,0,1
CENT17,C. tenuiflorum,1,1,1
CENT72,C. malzacianum,0,0,1
CENT29,C. maritimum,1,1,0
CENT25,C. discolor,0,0,1
CENT75,C. mairei,1,1,1
CENT53,C. capense,1,0,1
CENT44,C. centaurioides,0,0,1
CENT22,C. pulchellum,1,1,1
